rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0033923,Kareem Hunt,CLE,2021,6,66.0,14,0.69,ARI,15.0,,,1,0,0,3.0,48.0
00-0033045,Ezekiel Elliott,DAL,2021,6,69.0,17,0.71,NE,18.0,90.4,17.0,1,0,0,3.5,50.5
00-0036275,D'Andre Swift,DET,2021,6,24.0,13,0.78,CIN,10.0,35.75,9.5,1,1,0,-3.5,46.5
00-0036223,Jonathan Taylor,IND,2021,6,145.0,14,0.65,HOU,1.0,,,0,0,-1,10.5,43.5
00-0035831,James Robinson,JAX,2021,6,73.0,17,0.85,MIA,12.0,74.75,13.0,0,0,0,-2.5,47.5
00-0034301,Darrel Williams,KC,2021,6,62.0,21,0.72,WAS,6.0,,,0,0,0,6.0,54.0
00-0035664,Darrell Henderson,LA,2021,6,78.0,21,0.82,NYG,17.0,73.5,15.0,0,0,3,7.5,49.5
00-0033699,Austin Ekeler,LAC,2021,6,7.0,6,0.61,BAL,5.0,73.0,13.0,0,0,1,-3.0,50.5
00-0035700,Josh Jacobs,LV,2021,6,53.0,16,0.64,DEN,14.0,44.0,14.0,0,0,0,-5.0,45.5
00-0033893,Dalvin Cook,MIN,2021,6,140.0,29,0.74,CAR,9.0,96.0,21.0,0,0,0,2.5,45.5
00-0032972,Devontae Booker,NYG,2021,6,41.0,12,0.72,LA,16.0,42.0,16.0,0,0,-3,-7.5,49.5
00-0035243,Miles Sanders,PHI,2021,6,56.0,9,0.83,TB,2.0,42.8,9.6,0,0,0,-7.0,53.0
00-0036893,Najee Harris,PIT,2021,6,81.0,24,0.84,SEA,20.0,61.4,15.6,0,0,-3,5.5,43.0
00-0032426,Alex Collins,SEA,2021,6,101.0,20,0.6,PIT,7.0,47.0,15.0,0,0,3,-5.5,43.0
